ro,STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_N,MO_TT,MO_TX,MO_TN,MO_FK,MX_TX,MX_FX,MX_TN,MO_SD_S,QN_6,MO_RR,MX_RS
0,       2905,20180601,20180630,    3,  -999,  17.31,    -999,    -999,    2.10,  -999,  -999,-999,-999,-999,-999,-999
1,       2905,20180701,20180731,    3,  -999,  19.31,    -999,    -999,    2.13,  -999,  -999,-999,-999,-999,-999,-999
2,       2905,20180801,20180831,    3,  -999,  20.00,    -999,    -999,    2.10,  -999,  -999,-999,-999,-999,-999,-999
3,       2905,20180901,20180930,    3,  -999,  14.94,    -999,    -999,    2.17,  -999,  -999,-999,-999,-999,-999,-999
4,       2905,20181001,20181031,    3,  -999,   9.67,    -999,    -999,    2.26,  -999,  -999,-999,-999,-999,-999,-999
5,       2905,20181101,20181130,    3,  -999,   3.66,    -999,    -999,    2.10,  -999,  -999,-999,-999,-999,-999,-999
6,       2905,20181201,20181231,    3,  -999,   2.47,    -999,    -999,    3.03,  -999,  -999,-999,-999,-999,-999,-999
7,       2905,20190101,20190131,    3,  -999,  -1.13,    -999,    -999,    2.97,  -999,  -999,-999,-999,-999,-999,-999
8,       2905,20190201,20190228,-999,-999,-999,-999,-999,-999,  -999,  -999,-999,-999,-999,-999,-999
9,       2905,20190301,20190331,    3,  -999,   5.88,    -999,    -999,    3.23,  -999,  -999,-999,-999,-999,-999,-999
10,       2905,20190401,20190430,    3,  -999,   8.95,    -999,    -999,    2.63,  -999,  -999,-999,-999,-999,-999,-999
11,       2905,20190501,20190531,    3,  -999,  10.21,    -999,    -999,    2.52,  -999,  -999,-999,-999,-999,-999,-999
12,       2905,20190601,20190630,    3,  -999,  18.96,    -999,    -999,    2.17,  -999,  -999,-999,-999,-999,-999,-999
13,       2905,20190701,20190731,    3,  -999,  19.13,    -999,    -999,    2.16,  -999,  -999,-999,-999,-999,-999,-999
14,       2905,20190801,20190831,    3,  -999,  18.40,    -999,    -999,    2.06,  -999,  -999,-999,-999,-999,-999,-999
15,       2905,20190901,20190930,-999,-999,-999,-999,-999,-999,  -999,  -999,-999,-999,-999,-999,-999
16,       2905,20191001,20191031,    1,  -999,  10.58,    -999,    -999,    2.48,  -999,  -999,-999,-999,-999,-999,-999
17,       2905,20191101,20191130,    1,  -999,   4.24,    -999,    -999,    2.23,  -999,  -999,-999,-999,-999,-999,-999
18,       2905,20191201,20191231,    1,  -999,   1.93,    -999,    -999,    2.42,  -999,  -999,-999,-999,-999,-999,-999
0,       3147,20180601,20180630,    3,  -999,  18.46,   24.02,   12.61,-999,  29.7,  -999,   6.6,-999,    9,   100.6,   40.0
1,       3147,20180701,20180731,    3,  -999,  20.35,   27.25,   13.35,-999,  34.7,  -999,   7.9,-999,    9,    36.7,   28.2
